Event Name,Event Start,Event End,Event Location,Event Description
Soccer vs. WH-Heritage,2025-09-15 05:00 PM,2025-09-15 06:00 PM,"Coopertown Middle School (3820 Highway 49 W, Springfield, TN 37172, United States)","8th Grade Night
"
Football vs. Greenbrier,2025-09-16 06:30 PM,2025-09-16 08:30 PM,"Coopertown Middle School (3820 Highway 49 W, Springfield, TN 37172, United States)","
"
Soccer @ East Robertson,2025-09-17 05:00 PM,2025-09-17 06:00 PM,"East Robertson Elementary School (5177 E Robertson Rd, Cross Plains, TN 37049, United States)","
"
Volleyball @ Sycamore,2025-09-18 05:00 PM,2025-09-18 07:00 PM,"Sycamore Middle School (1025 Old Clarksville Pike, Pleasant View, TN 37146, United States)","JV at 5pm; Varsity at 6pm
"
Cross Country- Sumner County Middle School XC Championship,2025-09-18 05:00 PM,2025-09-18 05:30 PM,"Welch College (1045 Bison Trl, Gallatin, TN 37066, United States)","
"
Football vs. WH-Heritage,2025-09-23 06:30 PM,2025-09-23 08:30 PM,"Coopertown Middle School (3820 Highway 49 W, Springfield, TN 37172, United States)","8th Grade Night
"
Talen Meeting,2025-09-24 12:30 PM,2025-09-24 01:00 PM,,"
"
Soccer @ Greenbrier Pelt,2025-09-24 06:00 PM,2025-09-24 07:30 PM,Greenbrier Middle School,"2025 RCMSAA Girl Soccer Tournament Play-In
"
Soccer @ Greenbrier Park,2025-09-26 05:00 PM,2025-09-26 06:30 PM,Greenbrier Middle School,"2025 RCMSAA Girl Soccer Tournament Play-In

Rescheduled from 9/24 (Rained out)
"
Girls Soccer Quarterfinals,2025-09-29 05:00 PM,2025-09-29 09:00 PM,"Innovation Academy of Robertson County (715 5th Ave W, Springfield, TN 37172, United States)","2025 RCMSAA Girl Soccer Semifinals
"
RCMSAA Football Semifinals,2025-09-30 06:30 PM,2025-09-30 08:30 PM,,"Jo Byrns (#4 seed) @ East Robertson (#1 seed)
Coopertown (#3 seed) @ WH-Heritage (#2 seed)
"
Girls Soccer County Championship,2025-10-01 06:00 PM,2025-10-01 07:30 PM,Innovation Academy of Robertson County,"
"
RCMSAA Football Championship,2025-10-07 06:30 PM,2025-10-07 08:30 PM,"Greenbrier Middle School (2450 Highway 41 S, Greenbrier, TN 37073, United States)","
"
RCMSAA Jamboree,2025-10-23 04:00 PM,2025-10-23 08:30 PM,"Coopertown Middle School (3820 Highway 49 W, Springfield, TN 37172, United States)","Jo Byrns vs. Greenbrier (Girls)- 4pm
Jo Byrns vs. Greenbrier (Boys)- 4:45pm
WH-Heritage vs. East Robertson (Girls)- 5:30pm
WH-Heritage vs. East Robertson (Boys)- 6:15pm
Coopertown vs. Innovation Academy (Girls)- 7pm
Coopertown vs. Innovation Academy (Boys)- 7:45pm

Gates will open at 3pm
"
Wrestling vs. Greenbrier/Gladeville,2025-10-28 05:00 PM,2025-10-28 07:00 PM,"Coopertown Middle School (3820 Highway 49 W, Springfield, TN 37172, United States)","
"
Basketball vs. Sycamore,2025-10-30 04:00 PM,2025-10-30 08:30 PM,"Coopertown Middle School (3820 Highway 49 W, Springfield, TN 37172, United States)","Girls JV at 4pm
Boys JV at 4:45pm
Girls Varsity at 6pm
Boys Varsity at 7:15pm
"
Basketball vs. Greenbrier,2025-11-03 04:00 PM,2025-11-03 08:30 PM,"Coopertown Middle School (3820 Highway 49 W, Springfield, TN 37172, United States)","Girls JV at 4pm
Boys JV at 4:45pm
Girls Varsity at 6pm
Boys Varsity at 7:15pm
"
Basketball @ White House,2025-11-04 05:30 PM,2025-11-04 08:00 PM,"White House High School (508 Tyree Springs Rd, White House, TN 37188, United States)","
"
Basketball @ Jo Byrns,2025-11-06 04:00 PM,2025-11-06 08:30 PM,"Jo Byrns High School (7025 Highway 41 N, Cedar Hill, TN 37032, United States)","Girls JV at 4pm
Boys JV at 4:45pm
Girls Varsity at 6pm
Boys Varsity at 7:15pm
"
Wrestling vs. Cheatham & Greenbrier,2025-11-06 06:00 PM,2025-11-06 08:00 PM,"Cheatham Middle School (700 Scoutview Rd, Ashland City, TN 37015, United States)","
"
Basketball @ East Robertson,2025-11-10 04:00 PM,2025-11-10 08:30 PM,"East Robertson High School (158 Kilgore Trce, Cross Plains, TN 37049, United States)","Girls JV at 4pm
Boys JV at 4:45pm
Girls Varsity at 6pm
Boys Varsity at 7:15pm
"
Wrestling vs. Mt. Juliet,2025-11-11 05:00 PM,2025-11-11 07:00 PM,"Coopertown Middle School (3820 Highway 49 W, Springfield, TN 37172, United States)","
"
Wrestling vs. Antioch,2025-11-13 05:00 PM,2025-11-13 07:00 PM,"Coopertown Middle School (3820 Highway 49 W, Springfield, TN 37172, United States)","
"
Basketball vs. WH-Heritage,2025-11-17 04:00 PM,2025-11-17 08:30 PM,"Coopertown Middle School (3820 Highway 49 W, Springfield, TN 37172, United States)","Girls JV at 4pm
Boys JV at 4:45pm
Girls Varsity at 6pm
Boys Varsity at 7:15pm
"
Wrestling vs. Greenbrier & West Wilson,2025-11-17 05:00 PM,2025-11-17 07:00 PM,"West Wilson Middle School (935 N Mount Juliet Rd, Mount Juliet, TN 37122, United States)","
"
Basketball vs. New Providence,2025-11-18 06:00 PM,2025-11-18 08:30 PM,"Coopertown Middle School (3820 Highway 49 W, Springfield, TN 37172, United States)","Girls Varsity at 6pm
Boys Varsity at 7:15pm
"
Basketball @ Innovation Academy,2025-11-20 04:00 PM,2025-11-20 08:30 PM,"Innovation Academy of Robertson County (715 5th Ave W, Springfield, TN 37172, United States)","Girls JV at 4pm
Boys JV at 4:45pm
Girls Varsity at 6pm
Boys Varsity at 7:15pm
"
