Event Name,Event Start,Event End,Event Location,Event Description
HS Girls Soccer vs Stratford HS,2025-09-08 06:00 PM,2025-09-08 07:30 PM,"East Robertson High School (158 Kilgore Trce, Cross Plains, TN 37049, United States)","
"
HS Volleyball vs Smith County,2025-09-09 05:00 PM,2025-09-09 07:00 PM,,"JV - 5PM, V - 6PM
"
HS Girls Soccer vs Harpeth HS,2025-09-09 06:00 PM,2025-09-09 07:30 PM,"East Robertson High School (158 Kilgore Trce, Cross Plains, TN 37049, United States)","
"
MS Football vs Greenbrier,2025-09-09 06:30 PM,2025-09-09 08:30 PM,"East Robertson High School (158 Kilgore Trce, Cross Plains, TN 37049, United States)","
"
MS Volleyball @ Greenbrier Middle,2025-09-10 05:00 PM,2025-09-10 07:00 PM,"Greenbrier Middle School (2450 Highway 41 S, Greenbrier, TN 37073, United States)","JV starts at 5:00pm
"
HS Volleyball vs Jo Byrns,2025-09-11 08:00 AM,2025-09-11 08:30 AM,"East Robertson High School (158 Kilgore Trce, Cross Plains, TN 37049, United States)","JV - 5PM, V - 6PM
"
Golf vs Merrol Hyde & Jo Byrns,2025-09-11 03:30 PM,2025-09-11 06:00 PM,,"Location: Kenny Perry
"
HS Girls Soccer @ Glencliff HS,2025-09-11 06:00 PM,2025-09-11 07:30 PM,,"
"
MS Volleyball @ Hawkins MS,2025-09-12 04:30 PM,2025-09-12 06:30 PM,,"JV starts at 4:30pm
"
HS Football vs Portland,2025-09-12 07:00 PM,2025-09-12 09:30 PM,"East Robertson High School (158 Kilgore Trce, Cross Plains, TN 37049, United States)","
"
MS Volleyball - Robertson County Tournament,2025-09-15,2025-09-18,"White House Heritage High School (7744 Highway 76 E, White House, TN 37188, United States)","Details to be determined.
"
HS JV Football @ Portland,2025-09-15,2025-09-16,,"
"
Golf vs Stewart County & McEwen,2025-09-16 04:00 PM,2025-09-16 06:30 PM,,"Location: Paris Landing
"
HS Volleyball vs Innovation Academy,2025-09-16 05:00 PM,2025-09-16 07:00 PM,,"JV - 5pm, V - 6pm
"
HS Girls Soccer vs Springfield High School,2025-09-16 06:00 PM,2025-09-16 07:30 PM,,"
"
MS Football @ White House Heritage,2025-09-16 06:30 PM,2025-09-16 08:30 PM,"White House Heritage High School (7744 Highway 76 E, White House, TN 37188, United States)","
"
Golf vs White House Heritage,2025-09-18 02:00 PM,2025-09-18 04:30 PM,,"Location: Kenny Perry
"
HS Volleyball vs Gordonsville,2025-09-18 05:00 PM,2025-09-18 07:00 PM,,"JV - 5PM, V - 6PM
"
HS Girls Soccer @ Maplewood HS,2025-09-18 06:00 PM,2025-09-18 07:30 PM,,"
"
HS Football @ Kirkwood,2025-09-19,2025-09-20,,"
"
HS Volleyball vs White House,2025-09-22 05:00 PM,2025-09-22 07:00 PM,,"JV - 5PM, V - 6PM
"
HS Volleyball vs Trousdale County,2025-09-23 05:00 PM,2025-09-23 07:00 PM,"East Robertson High School (158 Kilgore Trce, Cross Plains, TN 37049, United States)","JV - 5pm, V - 6PM
"
HS Girls Soccer vs Waverly Central HS,2025-09-23 06:00 PM,2025-09-23 07:30 PM,,"
"
MS Football @ Jo Byrns,2025-09-23 06:30 PM,2025-09-23 08:30 PM,"Jo Byrns High School (7025 Highway 41 N, Cedar Hill, TN 37032, United States)","
"
